Image,Folder,PageName,Alt Text
header-logo.webp,Header,All Page,Header Logo
m-header-logo.webp,Header,All Page,Site-mobile-logo
m-menu-cta-logo.webp,Header,All Page,Cta Logo
footer-logo.webp,Footer,All Page,Footer Logo
m-footer-logo.webp,Footer,All Page,Footer Logo
bc-logo.svg,Footer,All Page,Bc-logo
404-img-1.webp,404,404 Page,404 image
404-img-2.webp,404,404 Page,404 image
blog-placeholder.webp,Blog,"Blog ,Blog Post",dummy-alt-text
financing-b-bg.webp,fullwidth-cta,"Homepage , Service subpage sidebar",Not found
financing-a-badge.svg,fullwidth-cta,Homepage,Financing Badge
financing-c-bg.webp,fullwidth-cta,"Homepage , Service subpage sidebar",Not found
financing-c-mascot.svg,fullwidth-cta,"Homepage , Service subpage sidebar",financing mascot
thank-you-graphic.webp,thank-you,Thank You page,Thank You Image
in-content-bg.webp,in-content-cta,"Subpage w/Sidebar, Subpage Fullwidth, Service Subpage w/Sidebar ",background
seo-img.webp,seo-section,Homepage ,Not found
company-services-img.webp,company-services,"Homepage , Reviews page, Blog ,Blog Post",Truck Image
m-company-services-img.webp,company-services,"Homepage , Reviews page, Blog ,Blog Post",Not found
home-banner.webp,hero,Homepage,background
m-home-banner.webp,hero,Homepage,background
value-prop-img.webp,value-prop,"Homepage, Subpage w/Sidebar,Subpage Fullwidth,Service Subpage w/Sidebar",What To Expect Image
reviews-img.webp,testimonial,"Homepage, Subpage w/Sidebar,Subpage Fullwidth,Service Subpage w/Sidebar",Not found
subpage-banner.webp,subpage-hero,"Subpage w/Sidebar,Subpage Fullwidth,Service Subpage w/Sidebar, Contact page, Schedule Service, Blog , Blog Post,Coupons Sidebar, Free Estimate , Review,",background
m-subpage-banner.webp,subpage-hero,"Subpage w/Sidebar,Subpage Fullwidth,Service Subpage w/Sidebar, Contact page, Schedule Service, Blog , Blog Post,Coupons Sidebar, Free Estimate , Review,",background
affiliate-logo-1-gray.webp,affiliation,"Homepage, Thank you page, Gallery,",bbb logo
affiliate-logo-2-gray.webp,affiliation,"Homepage, Thank you page, Gallery,",energy star logo
affiliate-logo-3-gray.webp,affiliation,"Homepage, Thank you page, Gallery,",angies list logo
affiliate-logo-4-gray.webp,affiliation,"Homepage, Thank you page, Gallery,",home advisor logo
affiliate-logo-5-gray.webp,affiliation,"Homepage, Thank you page, Gallery,",iso logo
affiliate-logo-6-gray.webp,affiliation,"Homepage, Thank you page, Gallery,",acca logo
service-map.webp,service-area  ,"Homepage, Contact Page,Schedule Service , Free Estimate ",background
service-map-b.webp,service-area  ,"Homepage, Contact Page,Schedule Service , Free Estimate ",background
service-map-c.webp,service-area  ,"Homepage, Contact Page,Schedule Service , Free Estimate ",background
m-service-map.webp,service-area  ,"Homepage, Contact Page,Schedule Service , Free Estimate ",background
m-service-map-b.webp,service-area  ,"Homepage, Contact Page,Schedule Service , Free Estimate",background
team-placeholder.webp,team,"Meet The Team Page,",dummy-alt-text
gallery-img-placeholder.webp,gallery,Gallery Page,dummy-alt-text
lightbox-placeholder-h.webp,gallery,Gallery Page,dummy-alt-text
lightbox-placeholder-v.webp,gallery,Gallery Page,dummy-alt-text
careers-banner.webp,careers,Careers - Standard Page,carrer banner
careers-gallery-1.webp,careers,Careers - Standard Page,careers image
careers-gallery-2.webp,careers,Careers - Standard Page,careers image
careers-gallery-3.webp,careers,Careers - Standard Page,careers image
careers-gallery-4.webp,careers,Careers - Standard Page,careers image
careers-gallery-5.webp,careers,Careers - Standard Page,careers image
careers-gallery-6.webp,careers,Careers - Standard Page,careers image
careers-gallery-7.webp,careers,Careers - Standard Page,careers image
careers-gallery-8.webp,careers,Careers - Standard Page,careers image
careers-gallery-9.webp,careers,Careers - Standard Page,careers image
careers-gallery-10.webp,careers,Careers - Standard Page,careers image
careers-gallery-11.webp,careers,Careers - Standard Page,careers image
careers-gallery-12.webp,careers,Careers - Standard Page,careers image
careers-gallery-13.webp,careers,Careers - Standard Page,careers image
careers-banner.webp,careers,Careers - Standard Page,careers image
m-careers-banner.webp,,,
